cmpd_id,subset,fold
SPID417,train_valid,2
SPID576,train_valid,2
SPID482,train_valid,2
SPID461,train_valid,2
SPID624,train_valid,2
SPID410,train_valid,2
SPID257,train_valid,2
SPID502,train_valid,2
SPID337,train_valid,2
SPID676,train_valid,2
SPID230,train_valid,2
SPID433,train_valid,2
SPID686,train_valid,2
SPID532,train_valid,2
SPID560,train_valid,2
SPID306,train_valid,2
SPID338,train_valid,2
SPID404,train_valid,2
SPID465,train_valid,2
SPID618,train_valid,2
SPID319,train_valid,2
SPID480,train_valid,2
SPID555,train_valid,2
SPID656,train_valid,2
SPID23,train_valid,2
SPID307,train_valid,2
SPID622,train_valid,2
SPID606,train_valid,2
SPID681,train_valid,2
SPID356,train_valid,2
SPID659,train_valid,2
SPID288,train_valid,2
SPID626,train_valid,2
SPID717,train_valid,2
SPID705,train_valid,2
SPID94,train_valid,2
SPID158,train_valid,2
SPID42,train_valid,2
SPID259,train_valid,2
SPID352,train_valid,2
SPID252,train_valid,2
SPID48,train_valid,2
SPID308,train_valid,2
SPID422,train_valid,2
SPID125,train_valid,2
SPID695,train_valid,2
SPID354,train_valid,2
SPID419,train_valid,2
SPID499,train_valid,2
SPID497,train_valid,2
SPID274,train_valid,2
SPID357,train_valid,2
SPID216,train_valid,2
SPID403,train_valid,2
SPID332,train_valid,2
SPID253,train_valid,2
SPID92,train_valid,2
SPID478,train_valid,2
SPID102,train_valid,2
SPID353,train_valid,2
SPID248,train_valid,2
SPID177,train_valid,2
SPID347,train_valid,2
SPID495,train_valid,2
SPID639,train_valid,2
SPID661,train_valid,2
SPID309,train_valid,3
SPID678,train_valid,3
SPID326,train_valid,3
SPID508,train_valid,3
SPID397,train_valid,3
SPID74,train_valid,3
SPID85,train_valid,3
SPID673,train_valid,3
SPID359,train_valid,3
SPID80,train_valid,3
SPID590,train_valid,3
SPID119,train_valid,3
SPID299,train_valid,3
SPID672,train_valid,3
SPID132,train_valid,3
SPID538,train_valid,3
SPID281,train_valid,3
SPID197,train_valid,3
SPID457,train_valid,3
SPID647,train_valid,3
SPID571,train_valid,3
SPID550,train_valid,3
SPID198,train_valid,3
SPID436,train_valid,3
SPID596,train_valid,3
SPID581,train_valid,3
SPID391,train_valid,3
SPID520,train_valid,3
SPID57,train_valid,3
SPID263,train_valid,3
SPID362,train_valid,3
SPID50,train_valid,3
SPID537,train_valid,3
SPID324,train_valid,3
SPID341,train_valid,3
SPID373,train_valid,3
SPID607,train_valid,3
SPID416,train_valid,3
SPID614,train_valid,3
SPID184,train_valid,3
SPID464,train_valid,3
SPID694,train_valid,3
SPID698,train_valid,3
SPID562,train_valid,3
SPID440,train_valid,3
SPID662,train_valid,3
SPID201,train_valid,3
SPID650,train_valid,3
SPID630,train_valid,3
SPID597,train_valid,3
SPID49,train_valid,3
SPID124,train_valid,3
SPID37,train_valid,3
SPID412,train_valid,3
SPID17,train_valid,3
SPID162,train_valid,3
SPID43,train_valid,3
SPID195,train_valid,3
SPID205,train_valid,3
SPID584,train_valid,3
SPID640,train_valid,3
SPID609,train_valid,3
SPID154,train_valid,3
SPID463,train_valid,3
SPID565,train_valid,3
SPID53,train_valid,3
SPID527,train_valid,3
SPID519,train_valid,3
SPID62,train_valid,3
SPID402,train_valid,3
SPID491,train_valid,3
SPID358,train_valid,3
SPID477,train_valid,3
SPID683,train_valid,3
SPID668,train_valid,3
SPID269,train_valid,3
SPID174,train_valid,3
SPID588,train_valid,3
SPID26,train_valid,3
SPID29,train_valid,3
SPID623,train_valid,3
SPID224,train_valid,3
SPID566,train_valid,3
SPID323,train_valid,3
SPID511,train_valid,3
SPID365,train_valid,3
SPID437,train_valid,3
SPID595,train_valid,3
SPID658,train_valid,3
SPID152,train_valid,3
SPID103,train_valid,3
SPID63,train_valid,3
SPID293,train_valid,3
SPID473,train_valid,3
SPID176,train_valid,3
SPID372,train_valid,3
SPID472,train_valid,3
SPID543,train_valid,3
SPID636,train_valid,3
SPID573,train_valid,3
SPID311,train_valid,3
SPID539,train_valid,3
SPID593,train_valid,3
SPID471,train_valid,3
SPID265,train_valid,4
SPID484,train_valid,4
SPID637,train_valid,4
SPID531,train_valid,4
SPID349,train_valid,4
SPID605,train_valid,4
SPID529,train_valid,4
SPID284,train_valid,4
SPID721,train_valid,4
SPID487,train_valid,4
SPID553,train_valid,4
SPID632,train_valid,4
SPID190,train_valid,4
SPID169,train_valid,4
SPID66,train_valid,4
SPID703,train_valid,4
SPID393,train_valid,4
SPID693,train_valid,4
SPID533,train_valid,4
SPID569,train_valid,4
SPID675,train_valid,4
SPID558,train_valid,4
SPID697,train_valid,4
SPID164,train_valid,4
SPID452,train_valid,4
SPID388,train_valid,4
SPID346,train_valid,4
SPID509,train_valid,4
SPID300,train_valid,4
SPID255,train_valid,4
SPID45,train_valid,4
SPID627,train_valid,4
SPID59,train_valid,4
SPID168,train_valid,4
SPID344,train_valid,4
SPID331,train_valid,4
SPID556,train_valid,4
SPID360,train_valid,4
SPID470,train_valid,4
SPID517,train_valid,4
SPID19,train_valid,4
SPID521,train_valid,4
SPID369,train_valid,4
SPID146,train_valid,4
SPID15,train_valid,4
SPID7,train_valid,4
SPID75,train_valid,4
SPID318,train_valid,4
SPID384,train_valid,4
SPID420,train_valid,4
SPID25,train_valid,4
SPID376,train_valid,4
SPID431,train_valid,4
SPID578,train_valid,4
SPID121,train_valid,4
SPID86,train_valid,4
SPID506,train_valid,4
SPID641,train_valid,4
SPID116,train_valid,4
SPID665,train_valid,4
SPID292,train_valid,4
SPID160,train_valid,4
SPID488,train_valid,4
SPID494,train_valid,4
SPID613,train_valid,4
SPID258,train_valid,4
SPID302,train_valid,4
SPID335,train_valid,4
SPID241,train_valid,4
SPID664,train_valid,4
SPID127,train_valid,4
SPID503,train_valid,4
SPID142,train_valid,4
SPID161,train_valid,4
SPID459,train_valid,4
SPID559,train_valid,4
SPID466,train_valid,4
SPID9,train_valid,4
SPID643,train_valid,4
SPID646,train_valid,4
SPID498,train_valid,4
SPID348,train_valid,4
SPID700,train_valid,4
SPID427,train_valid,4
SPID570,train_valid,4
SPID285,train_valid,4
SPID188,train_valid,4
SPID93,train_valid,4
SPID13,train_valid,4
SPID432,train_valid,4
SPID684,train_valid,4
SPID638,train_valid,4
SPID485,train_valid,4
SPID371,train_valid,4
SPID374,train_valid,4
SPID14,train_valid,4
SPID41,train_valid,4
SPID591,train_valid,4
SPID598,train_valid,4
SPID58,train_valid,4
SPID542,train_valid,4
SPID522,train_valid,4
SPID479,train_valid,4
SPID409,train_valid,4
SPID475,test,0
SPID222,test,0
SPID549,test,0
SPID699,test,0
SPID115,test,0
SPID585,test,0
SPID523,test,0
SPID226,test,0
SPID493,test,0
SPID235,test,0
SPID298,test,0
SPID242,test,0
SPID112,test,0
SPID33,test,0
SPID234,test,0
SPID719,test,0
SPID645,test,0
SPID654,test,0
SPID468,test,0
SPID526,test,0
SPID246,test,0
SPID238,test,0
SPID157,test,0
SPID405,test,0
SPID392,test,0
SPID266,test,0
SPID217,test,0
SPID620,test,0
SPID243,test,0
SPID451,test,0
SPID315,test,0
SPID633,test,0
SPID671,test,0
SPID295,test,0
SPID280,test,0
SPID196,test,0
SPID345,test,0
SPID52,test,0
SPID583,test,0
SPID505,test,0
SPID172,test,0
SPID594,test,0
SPID54,test,0
SPID73,test,0
SPID108,test,0
SPID91,test,0
SPID175,test,0
SPID364,test,0
SPID301,test,0
SPID635,test,0
SPID225,test,0
SPID514,test,0
SPID399,test,0
SPID385,test,0
SPID568,test,0
SPID572,test,0
SPID277,test,0
SPID317,test,0
