LTKBID,DILIRank_PubChem_CID,LabelCompoundName,ApprovalYear,DILIConcern,SeverityClass,LabelSection,AdjudicatedDILI,vDILIConcern,Greene_Annotation,Sakatis_Annotation,Xu_Annotation,Zhu_Annotation,SMILES,URL (accessed on 1/21/2016),"VER_DISP (1=LTKB-BD, 2=others)",DILIST_ID,CompoundName,DILIst Classification ,Routs of Administration ,PUBCHEM_CID_from_name,compound_id,_merge,pubchem_smiles
LT00061,498142,carboplatin,1989,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,HH,,Positive,,C1CC(C1)(C(=O)O)C(=O)O.[NH2-].[NH2-].[Pt],http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f330f5a2-2cad-402f-bcbb-26245a753276,1,34,carboplatin,1,Intravenous,426756,CID426756,both,C1CC(C1)(C(=O)O)C(=O)O.[NH2-].[NH2-].[Pt]
LT00062,5481173,ceftazidime,1985,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,WE,Hepatotoxic,Negative,,CC(C)(C(=O)O)O/N=C(/C1=CSC(=N1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-],http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=757c31dc-99ef-4960-b118-738b79631b1a,2,35,ceftazidime,1,Intravenous,5481173,CID5481173,both,CC(C)(C(=O)O)O/N=C(/C1=CSC(=N1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-]
LT00066,2710,chlorcyclizine,,No-DILI-Concern,0,No match,Yes,vLess-DILI-Concern,,,,,CN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d50b5154-20a3-4c5b-ad7b-08c081340b12,2,36,chlorcyclizine,1,Oral,2710,CID2710,both,CN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl
LT00067,2733,chlorzoxazone,1958,Most-DILI-Concern,8,Warnings and precautions,Yes,vMost-DILI-Concern,HH,,Positive,Postive,C1=CC2=C(C=C1Cl)NC(=O)O2,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=262297fa-891c-4696-923b-b961b57a06fd,1,37,chlorzoxazone,1,Oral,2733,CID2733,both,C1=CC2=C(C=C1Cl)NC(=O)O2
LT00068,2726,chlorpromazine,1957,Less-DILI-Concern,2,Adverse reactions,Yes,vLess-DILI-Concern,HH,Hepatotoxic,Positive,Postive,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b9d57be1-17cb-42ac-8334-ef3494be7f17,1,38,chlorpromazine,1,Oral,2726,CID2726,both,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl
LT00071,441203,cisplatin,1978,Less-DILI-Concern,3,Warnings and precautions,Yes,vLess-DILI-Concern,HH,,Positive,,N.N.Cl[Pt+2]Cl,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=de6302d5-85f0-4116-a709-57826c2c84fe,1,39,cisplatin,1,Intravenous,5702198,CID5702198,both,N.N.Cl[Pt+2]Cl
LT00074,3080,dimercaprol,1946,No-DILI-concern,0,No match,,vNo-DILI-Concern,HH,,Positive,,C(C(CS)S)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=bee9a137-160f-47e8-a551-ca461ae4f51e,2,40,dimercaprol,0,Intramuscular,3080,CID3080,both,C(C(CS)S)O
LT00076,6167,colchicine,2009,Less-DILI-Concern,6,Adverse reactions,,Ambiguous DILI-concern,WE,non-hepatotixic,Negative,,CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=56c130d1-7581-4152-99a2-0014ee9366c0,1,41,colchicine,0,Oral,6167,CID6167,both,CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC
LT00077,16132357,corticotropin,1950,No-DILI-Concern,0,No match,,vNo-DILI-Concern,,,,,CC[C@H](C)[C@@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC2=CN=CN2)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](C)C(=O)N[C@@H](CC3=CN=CN3)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H]([C@@H](C)CC)C(=O)O)NC(=O)[C@@H]4CCCN4C(=O)[C@@H]5CCCN5C(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CO)N,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ae97eb2b-587a-4705-8c55-de0f97ee1f1f,2,42,corticotropin,0,Subcutaneous,16132265,CID16132265,both,CC[C@H](C)[C@@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC2=CN=CN2)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](C)C(=O)N[C@@H](CC3=CN=CN3)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H]([C@@H](C)CC)C(=O)O)NC(=O)[C@@H]4CCCN4C(=O)[C@@H]5CCCN5C(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CO)N
LT00079,2019,dactinomycin,1964,Most-DILI-Concern,8,Warnings and precautions,Yes,vMost-DILI-Concern,HH,Hepatotoxic,Positive,,CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f28e899c-6acb-4bd2-82ad-170720c62270,2,43,dactinomycin,1,Subcutaneous,457193,CID457193,both,CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C
LT00080,2952,dantrolene,1974,Most-DILI-Concern,8,Box warning,Yes,vMost-DILI-Concern,HH,Hepatotoxic,Positive,,C1C(=O)NC(=O)N1N=CC2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-],http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=57b4eec1-49e1-432c-95ae-0fe36e32d64b,1,44,dantrolene,1,Oral,6914273,CID6914273,both,C1C(=O)NC(=O)N1N=CC2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-]
LT00081,54680690,demeclocycline,1960,Less-DILI-Concern,3,Warnings and precautions,,Ambiguous DILI-concern,HH,,Positive,,CN(C)[C@H]1[C@@H]2C[C@@H]3[C@@H](C4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)Cl)O,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ec16fd0b-9185-4fed-a702-770b4fb1a1cd,2,45,demeclocycline,0,Oral,54680690,CID54680690,both,CN(C)[C@H]1[C@@H]2C[C@@H]3[C@@H](C4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)Cl)O
LT00083,15330,propoxyphene,1957,Less-DILI-Concern,3,Adverse reactions,Yes,vLess-DILI-Concern,,,,,CCC(=O)OC(CC1=CC=CC=C1)(C2=CC=CC=C2)C(C)CN(C)C,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=49c4f24c-648b-2db2-5c00-2835d14b1275,2,46,propoxyphene,1,Oral,10100,CID10100,both,CCC(=O)OC(CC1=CC=CC=C1)(C2=CC=CC=C2)C(C)CN(C)C
LT00084,3033,diclofenac,1988,Most-DILI-Concern,8,Warnings and precautions,Yes,vMost-DILI-Concern,HH,Hepatotoxic,Positive,Postive,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8e6e1aea-d1c9-f6bf-2a8c-0504437be95c,1,47,diclofenac,1,Oral,3033,CID3033,both,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
